	reply_text
484	Mam, Can I get DM from you with Mam's contact number for a telephonic reaction on News . Would really appreciate
485	I don't have it.. why don't you try her here
486	Thank you for the reply mam. Really appreciate. I have tweeted mam also.
487	the ease with these weapons are brandished is a threatening scenario
488	. come on! Surely not as scary as RSS Hindus at large with laathis, right?
489	Their hiding at MSNBC or CNN office
490	The GIGN got there work cut out today lol
491	Exciting! Anyone going? RT Prince rumoured to performsurprise show in Toronto
492	I'll definitely be trying to get tix today!
493	hey ^^^^
494	who cares!!!!
495	I guess it's no longer a surprise.
496	“: Prince rumoured to be performing in surprise show in Toronto ” How cool!
497	he's still alive???
498	Next, maybe Vancouver, B.C?
499	hahahaha well it's not much of a surprise now is it!?
500	IF this were to be happening on Thursday, would consider flying Vancouver to To. in hopes of seeing him live.
501	“: At least dead in shooting at HQ of in (police source) ”
502	At least dead in shooting at HQ of in (police source)
503	This is the future of Europe. Thank you...
504	Only time I was in France, traveled from Switzerland to the UK. Dirty country, terrible roads. People jammed together. Won't visit
505	France is a very beautiful country
506	Three Scenarios For A Succession In by via v
507	Putin'll be made a tsar (and the newborn an heir). Back serfdom as Zorkin suggested.
508	What are your thoughts on ?
509	Either a simple flue, more serious illness or serious domestic political problems.
510	
511	And how Europe will behave in such a case?
512	uhmmm botox sesions far more likely anyway
513	Doxed faggot!
514	"Lol ""Self Styled Sheikh"" ? I think I'll be Prime Minister then"
515	I also like to see myself as a self-styled billionaire though it doesn't help me with overdraft charges, lol.
516	Lol
517	so he's not even muslim? wow this is uh weird
518	check
519	I saw
520	shit tell him to get on Cosby's level
521	"BASTARD whined he was ""tortured"" in prison. Didn't have to jump his death, burn to death or was beheaded"
522	- FORTY SIX?!
523	Quite a dude, isn’t he. Sick man.
524	- Indeed. Wondering why he wasn't locked up or deported when he was accused...
525	Truth. There are plenty of these sickos hiding under cover of civil society the world over, all ‘cos processes are compromised.
526	Guess what? THESE are the type of individuals that 'waterboarding' intends to discover.
527	No wonder dude upped his game. Seems like men engaged in femicide &amp; sexual assaults in Australia can roam freely?
528	Why was this mad man not behind bars? Ugh
529	Yeah , I read about this joker this morning - alleged murder and sex assaults allegations really had my eyebrow raised !
530	And patronized him in hate of i guess.
531	seems like an affable chap
532	Apparently he was out on bail! Some judge has questions to answer.
533	in simple word a Mentle
534	Is he consider as terrorist or just a criminal person as his faith not Sunni Islam ?
535	sex assaults, murdered wife AND STILL WALKING AROUND!!! Unbelievable..talk about a war on women....
536	"Lots of fancy words being used to describe him. I say - sick, deranged, *eletive* looking for ""suicide by cop""."
537	Is there a headline writer position at your place of employment?
538	yessss!!
539	Ondertussen in Canada... “: BREAKING NEWS: Soldier shot at National War Memorial in Ottawa ”
540	
541	omg hope !!!!!!
542	"Christ. Ottawa friends, stay safe ️ "": BREAKING NEWS: Soldier shot at National War Memorial in Ottawa ”"
543	And this:
544	“: BREAKING NEWS: Soldier shot at National War Memorial in Ottawa ”. Be safe out there folks in Uniform
545	why!!!
546	Bizar..Gister Montréal vandaag Ottawa. : BREAKING NEWS: Soldier shot at National War Memorial in Ottawa ”
547	nd ISIS attack in Canada in two days
548	"Lord, have mercy. Protect those who protect us "": Soldier shot at National War Memorial in Ottawa ”"
549	im sure none of the officers in have any infractions against them........
550	yamiche. you didnt get this topic cause your black right? i hope its of your enduring work ethic
551	I'm sure they covered up all his disciplinary actions. They've had almost a week to set up a defense strategy!
552	In case you haven't been told enough, you've done a fantastic job covering this story. Really great work.
553	Can we see video proof
554	- Is it true there was a struggle in the squad car, before shooting?
555	Translation: killing unarmed teen his first. MT : Darren Wilson -yr vet of Police w/ no disciplinary actions against him.
556	you do an amazing job! Thank you.
557	"years is a ""veteran""? “: Darren Wilson is a six year veteran of the Police and had no disciplinary actions against him.”"
558	HE ISN'T THE SHOOTER RT : Darren Wilson is a six year veteran of the Police and had no disciplinary actions against him.
559	well who is
560	Bryan Willman
561	French Police have closed Charles de Gaulle airport flights being diverted airport is near Dammartin-en-Goel
562	These guys aren't getting away from the GIGN.
563	Why did they even exist? Everyone seem to know all about their dirt!
564	you are apparently not paying attention. Sky News is showing GIGN Aircraft in the sky, it's safe to say there is a hostage...
565	the terrorists need empathy send them to Harvard University
566	“: BREAKING: French police tell AP suspects in attack have taken a hostage northeast of Paris.” oh dear.
567	
568	Dead,2 injured
569	Have mercy My heart breaks RT confirm ppl &amp; crew on FLT crash in French Alps
570	"Sad news "": ""sorry to confirm"" passengers &amp; crew on board when it crashed ”"
571	Victims of crash were most likely from Spain, Germany &amp; Turkey, says French President Hollande
572	Victims of crash were most likely from Spain, Germany &amp; Turkey, says President Hollande
573	King Felipe VI of Spain cancels state visit to France after crash
574	What he couldn't be driven?
575	“: King Felipe VI of Spain cancels state visit to France after crash ”
576	It's been a rotten year for France so far...
577	This is sadly true...Support Israel, the apple of God's eye. WORLD! John :16-17
578	In this case for Germany and Spain as well...
579	I know I know.. :'( I had added 'and Europe', but then deleted it. Didn't want to sound too doomed.....
580	King Felipe VI of Spain cancels state visit to France after crash |
581	What Does He Know That We Don't?
582	OF COURSE OBAMA LUCKS OUT AGAIN. PLANE CRASH TAKES FOCUS OFF IRAN DEADLINE TODAY.
583	assholes
584	victims from Catalonia, Spain and Germany please correct your information.
585	May they RIP.. So many planes crashing! What's going on??
586	
587	All I can say is that we MUST support Israel &amp; the Jews.
